Player,Tm,G,Player-additional
Jaime Echenique,WAS,1,echenja01
Anthony Edwards,MIN,72,edwaran01
Carsen Edwards,DET,4,edwarca01
Kessler Edwards,BRK,48,edwarke02
Rob Edwards,OKC,2,edwarro01
CJ Elleby,POR,58,ellebcj01
Wayne Ellington,LAL,43,ellinwa01
Joel Embiid,PHI,68,embiijo01
James Ennis III,TOT,7,ennisja01
Drew Eubanks,TOT,71,eubandr01
Tacko Fall,CLE,11,fallta01
Derrick Favors,OKC,39,favorde01
Bruno Fernando,TOT,30,fernabr01
Dorian Finney-Smith,DAL,80,finnedo01
Malik Fitts,TOT,15,fittsma01
Malachi Flynn,TOR,44,flynnma01
Bryn Forbes,TOT,75,forbebr01
Aleem Ford,ORL,5,fordal03
Trent Forrest,UTA,60,forretr01
Evan Fournier,NYK,80,fournev01
De'Aaron Fox,SAC,59,foxde01
Melvin Frazier,OKC,3,frazime01
Tim Frazier,TOT,12,fraziti01
Enes Freedom,BOS,35,kanteen01
Markelle Fultz,ORL,18,fultzma01
Wenyen Gabriel,TOT,26,gabriwe01
Daniel Gafford,WAS,72,gaffoda01
Danilo Gallinari,ATL,66,gallida01
Langston Galloway,TOT,7,gallola01
Darius Garland,CLE,68,garlada01
Marcus Garrett,MIA,12,garrema01
Usman Garuba,HOU,24,garubus01
Luka Garza,DET,32,garzalu01
Rudy Gay,UTA,55,gayru01
Paul George,LAC,31,georgpa01
Taj Gibson,NYK,52,gibsota01
Josh Giddey,OKC,54,giddejo01
Shai Gilgeous-Alexander,OKC,56,gilgesh01
Anthony Gill,WAS,44,gillan01
Freddie Gillespie,ORL,9,gillefr01
Rudy Gobert,UTA,66,goberru01
Brandon Goodwin,CLE,36,goodwbr01
Jordan Goodwin,WAS,2,goodwjo01
Aaron Gordon,DEN,75,gordoaa01
Eric Gordon,HOU,57,gordoer01
Devonte' Graham,NOP,76,grahade01
Jerami Grant,DET,47,grantje01
Hassani Gravett,ORL,8,graveha01
Danny Green,PHI,62,greenda02
Draymond Green,GSW,46,greendr01
Jalen Green,HOU,67,greenja05
JaMychal Green,DEN,67,greenja01
Javonte Green,CHI,65,greenja02
Jeff Green,DEN,75,greenje02
Josh Green,DAL,67,greenjo02
Blake Griffin,BRK,56,griffbl01
Quentin Grimes,NYK,46,grimequ01
Kyle Guy,MIA,19,guyky01
Rui Hachimura,WAS,42,hachiru01
Tyrese Haliburton,TOT,77,halibty01
Tyler Hall,NYK,1,hallty01
R.J. Hampton,ORL,64,hamptrj01
Tim Hardaway Jr.,DAL,42,hardati02
James Harden,TOT,65,hardeja01
Maurice Harkless,SAC,47,harklma01
Jared Harper,NOP,5,harpeja01
Montrezl Harrell,TOT,71,harremo01
Gary Harris,ORL,61,harriga01
Joe Harris,BRK,14,harrijo01
Tobias Harris,PHI,73,harrito02
Shaquille Harrison,BRK,2,harrish01
Josh Hart,TOT,54,hartjo01
Isaiah Hartenstein,LAC,68,harteis01
Udonis Haslem,MIA,13,hasleud01
Sam Hauser,BOS,26,hausesa01
Jaxson Hayes,NOP,70,hayesja02
Killian Hayes,DET,66,hayeski01
Gordon Hayward,CHO,49,haywago01
Aaron Henry,PHI,6,henryaa01
Juancho Hernangómez,TOT,40,hernaju01
Willy Hernangómez,NOP,50,hernawi01
Tyler Herro,MIA,66,herroty01
Buddy Hield,TOT,81,hieldbu01
Haywood Highsmith,MIA,19,highsha01
George Hill,MIL,54,hillge01
Malcolm Hill,TOT,19,hillma01
Solomon Hill,ATL,13,hillso01
Nate Hinton,IND,2,hintona01
Jaylen Hoard,OKC,7,hoardja01
Aaron Holiday,TOT,63,holidaa01
Jrue Holiday,MIL,67,holidjr01
Justin Holiday,TOT,74,holidju01
Richaun Holmes,SAC,45,holmeri01
Rodney Hood,TOT,52,hoodro01
Scotty Hopson,OKC,1,hopsosc01
Al Horford,BOS,69,horfoal01
Talen Horton-Tucker,LAL,60,hortota01
Danuel House Jr.,TOT,42,houseda01
Dwight Howard,LAL,60,howardw01
Markus Howard,DEN,31,howarma02
Kevin Huerter,ATL,74,huertke01
Jay Huff,LAL,4,huffja01
Elijah Hughes,TOT,36,hugheel01
Feron Hunt,NYK,2,huntfe01
De'Andre Hunter,ATL,53,huntede01
Chandler Hutchison,PHO,6,hutchch01
Bones Hyland,DEN,69,hylanbo01
Serge Ibaka,TOT,54,ibakase01
Andre Iguodala,GSW,31,iguodan01
Joe Ingles,UTA,45,inglejo01
Brandon Ingram,NOP,55,ingrabr01
Kyrie Irving,BRK,29,irvinky01
Wes Iwundu,ATL,3,iwundwe01
Frank Jackson,DET,53,jacksfr01
Isaiah Jackson,IND,36,jacksis01
Jaren Jackson Jr.,MEM,78,jacksja02
Josh Jackson,TOT,51,jacksjo02
Justin Jackson,TOT,7,jacksju01
Reggie Jackson,LAC,75,jacksre01
LeBron James,LAL,56,jamesle01
DeJon Jarreau,IND,1,jarrede01
DaQuan Jeffries,MEM,3,jeffrda01
Ty Jerome,OKC,48,jeromty01
Isaiah Joe,PHI,55,joeis01
Alize Johnson,TOT,23,johnsal02
B.J. Johnson,ORL,4,johnsbj01
Cameron Johnson,PHO,66,johnsca02
David Johnson,TOR,2,johnsda08
Jalen Johnson,ATL,22,johnsja05
James Johnson,BRK,62,johnsja01
Joe Johnson,BOS,1,johnsjo02
Keldon Johnson,SAS,75,johnske04
Keon Johnson,TOT,37,johnske07
Stanley Johnson,LAL,48,johnsst04
Tyler Johnson,TOT,6,johnsty01
Nikola Jokić,DEN,74,jokicni01
Carlik Jones,TOT,5,jonesca03
Damian Jones,SAC,56,jonesda03
Derrick Jones Jr.,CHI,51,jonesde02
Herbert Jones,NOP,78,joneshe01
Jemerrio Jones,LAL,2,jonesje01
Kai Jones,CHO,21,joneska01
Mason Jones,LAL,4,jonesma05
Tre Jones,SAS,69,jonestr01
Tyus Jones,MEM,73,jonesty01
DeAndre Jordan,TOT,48,jordade01
Cory Joseph,DET,65,josepco01
Georgios Kalaitzakis,TOT,13,kalaige01
Frank Kaminsky,PHO,9,kaminfr01
Luke Kennard,LAC,70,kennalu01
Braxton Key,TOT,11,keybr01
George King,DAL,4,kingge03
Louis King,SAC,10,kinglo02
Corey Kispert,WAS,77,kispeco01
Maxi Kleber,DAL,59,klebima01
Brandon Knight,DAL,5,knighbr03
Nathan Knight,MIN,37,knighna01
Kevin Knox,TOT,30,knoxke01
John Konchar,MEM,72,konchjo01
Furkan Korkmaz,PHI,67,korkmfu01
Luke Kornet,TOT,15,kornelu01
Vit Krejci,OKC,30,krejcvi01
Arnoldas Kulboka,CHO,2,kulboar01
Jonathan Kuminga,GSW,70,kuminjo01
Kyle Kuzma,WAS,66,kuzmaky01
Anthony Lamb,SAS,2,lamban01
Jeremy Lamb,TOT,56,lambje01
Jock Landale,SAS,54,landajo01
Romeo Langford,TOT,48,langfro01
Zach LaVine,CHI,67,lavinza01
Jake Layman,MIN,34,laymaja01
Damion Lee,GSW,63,leeda03
Saben Lee,DET,37,leesa01
Alex Len,SAC,39,lenal01
Caris LeVert,TOT,58,leverca01
Kira Lewis Jr.,NOP,24,lewiski01
Scottie Lewis,CHO,2,lewissc01
Damian Lillard,POR,29,lillada01
Nassir Little,POR,42,littlna01
Isaiah Livers,DET,19,liveris01
Kevon Looney,GSW,82,looneke01
Brook Lopez,MIL,13,lopezbr01
Robin Lopez,ORL,36,lopezro01
Didi Louzada,TOT,9,louzama01
Kevin Love,CLE,74,loveke01
Kyle Lowry,MIA,63,lowryky01
Gabriel Lundberg,PHO,4,lundbga01
Timothé Luwawu-Cabarrot,ATL,52,luwawti01
Trey Lyles,TOT,75,lylestr01
Théo Maledon,OKC,51,maledth01
Sandro Mamukelashvili,MIL,41,mamuksa01
Terance Mann,LAC,81,mannte01
Tre Mann,OKC,60,manntr01
Boban Marjanović,DAL,23,marjabo01
Lauri Markkanen,CLE,61,markkla01
Naji Marshall,NOP,55,marshna01
Caleb Martin,MIA,60,martica02
Cody Martin,CHO,71,martico01
Kelan Martin,TOT,30,martike03
KJ Martin,HOU,79,martike04
Garrison Mathews,HOU,65,mathega01
Dakota Mathias,MEM,6,mathida01
Wesley Matthews,MIL,49,matthwe02
Tyrese Maxey,PHI,75,maxeyty01
Skylar Mays,ATL,28,mayssk01
Miles McBride,NYK,40,mcbrimi01
Mac McClung,TOT,2,mccluma01
CJ McCollum,TOT,62,mccolcj01
T.J. McConnell,IND,27,mccontj01
Jaden McDaniels,MIN,70,mcdanja02
Jalen McDaniels,CHO,55,mcdanja01
Doug McDermott,SAS,51,mcderdo01
JaVale McGee,PHO,74,mcgeeja01
Cameron McGriff,POR,3,mcgrica01
Rodney McGruder,DET,51,mcgruro01
Alfonzo McKinnie,CHI,17,mckinal01
JaQuori McLaughlin,DAL,4,mclauja01
Jordan McLaughlin,MIN,62,mclaujo01
Ben McLemore,POR,64,mclembe01
De'Anthony Melton,MEM,73,meltode01
Sam Merrill,MEM,6,merrisa01
Chimezie Metu,SAC,60,metuch01
Khris Middleton,MIL,66,middlkh01
C.J. Miles,BOS,1,milescj01
Patty Mills,BRK,81,millspa02
Paul Millsap,TOT,33,millspa01
Shake Milton,PHI,55,miltosh01
Davion Mitchell,SAC,75,mitchda01
Donovan Mitchell,UTA,67,mitchdo01
Evan Mobley,CLE,69,mobleev01
Malik Monk,LAL,76,monkma01
Greg Monroe,TOT,14,monrogr01
Moses Moody,GSW,52,moodymo01
Xavier Moon,LAC,10,moonxa01
Matt Mooney,NYK,1,moonema01
Ja Morant,MEM,57,moranja01
Juwan Morgan,TOT,2,morgaju01
Jaylen Morris,SAS,3,morrija01
